study_id,title,author,year,disease,technology,samples,cells,paper_url,data_url,metadata_url,cell_types_url,summary_url,meta_programs_url,cnas_url,umap_url,cell_cycle_url,diseases,technology_raw,data_completeness,cancer_types
189.0,Tirosh et al. 2016,Tirosh,2016,Melanoma,SmartSeq2,19,4645,https://science.sciencemag.org/content/352/6282/189,https://www.dropbox.com/scl/fi/kkpn6efc71xhcftvhmv91/Data_Tirosh2016_Skin.tar.gz?rlkey=ulf28q9mfozkvfyicgum1ed14&dl=1,,study-data/cell-types/20111,study-data/comments/20111,study-data/meta-programs/20111,study-data/cnas/20111,study-data/umap/20111,study-data/cell-cycle/20111,['Melanoma'],SmartSeq2,1.0,['skin']
331.0,Filbin et al. 2018,Filbin,2018,Pediatric H3-K27M mutant glioma,SmartSeq2,7,2587,https://science.sciencemag.org/content/360/6386/331,https://www.dropbox.com/scl/fi/qv4dfn364go7snxjd9e8q/Data_Filbin2018_Brain.tar.gz?rlkey=is8ljyd5rqnnq01f2x2u4bnri&dl=1,,study-data/cell-types/20063,study-data/comments/20063,study-data/meta-programs/20063,,study-data/umap/20063,study-data/cell-cycle/20063,['Pediatric H3-K27M mutant glioma'],SmartSeq2,0.75,['brain']
594.0,Young et al. 2018,Young,2018,"Wilms tumor, ccRCC, papillary RCC",10x,66,125139,https://science.sciencemag.org/content/361/6402/594,https://www.dropbox.com/scl/fi/opewhcog3sd5nc37b9ucv/Data_Young2018_Kidney.tar.gz?rlkey=syu5qmj84agblb9vwq2mur85s&dl=1,,study-data/cell-types/20117,study-data/comments/20117,study-data/meta-programs/20117,study-data/cnas/20117,study-data/umap/20117,study-data/cell-cycle/20117,"['Wilms tumor', 'ccRCC', 'papillary RCC']",10x,1.0,['kidney']
1351.0,Miyamoto et al. 2015,Miyamoto,2015,Prostate cancer,Other,26,169,https://science.sciencemag.org/content/349/6254/1351,https://www.dropbox.com/scl/fi/ey8ye5i0fkdtl9u9aa9wp/Data_Miyamoto2015_Other-Models.tar.gz?rlkey=u2xzfxem0w4w4trnppkszpcd2&dl=1,,study-data/cell-types/20095,study-data/comments/20095,,,study-data/umap/20095,study-data/cell-cycle/20095,['Prostate cancer'],,0.5,['othermodels']
20049.0,Aynaud et al. 2020,Aynaud,2020,Ewing sarcoma,10x,14,16337,https://www.sciencedirect.com/science/article/pii/S2211124720300747,https://www.dropbox.com/scl/fi/68o4u9h8r72h6ulw4crn8/Data_Aynaud2020_Other-Models.tar.gz?rlkey=2kooqpwlayby3r1gi5hrufbsi&dl=1,,study-data/cell-types/20049,study-data/comments/20049,,,study-data/umap/20049,study-data/cell-cycle/20049,['Ewing sarcoma'],"10x, Fluidigm C1",0.5,['othermodels']
20050.0,Bi et al. 2021,Bi,2021,RCC,10x,8,34326,https://www.sciencedirect.com/science/article/pii/S1535610821001173,https://www.dropbox.com/scl/fi/35f2koc2et5o1oyi7a5nm/Data_Bi2021_Kidney.tar.gz?rlkey=olthnj9mnqu7jsb3d68jobsgr&dl=1,,study-data/cell-types/20050,study-data/comments/20050,study-data/meta-programs/20050,study-data/cnas/20050,study-data/umap/20050,study-data/cell-cycle/20050,['RCC'],10x,1.0,['kidney']
20051.0,Caron et al. 2020,Caron,2020,ALL,10x,10,37320,https://www.nature.com/articles/s41598-020-64929-x,https://www.dropbox.com/scl/fi/gn9eedqc8jw4ji5ophv2j/Data_Caron2020_Hematologic.tar.gz?rlkey=wvupwtcjfw8o49iiowm2z6ham&dl=1,,study-data/cell-types/20051,study-data/comments/20051,study-data/meta-programs/20051,study-data/cnas/20051,study-data/umap/20051,study-data/cell-cycle/20051,['ALL'],10x,1.0,['hematologic']
20052.0,Chen et al. 2020,Chen,2020,Nasopharyngeal carcinoma,10x,14,71896,https://www.nature.com/articles/s41422-020-0374-x,https://www.dropbox.com/scl/fi/xgjb48acmwxetabibq865/Data_Chen2020_Head-and-Neck.tar.gz?rlkey=sjgvdhd5habrsl05jor7e5c4t&dl=1,,study-data/cell-types/20052,study-data/comments/20052,study-data/meta-programs/20052,study-data/cnas/20052,study-data/umap/20052,study-data/cell-cycle/20052,['Nasopharyngeal carcinoma'],10x,1.0,['head-and-neck']
20053.0,Chen et al. 2021,Chen,2021,Prostate cancer,10x,13,36424,https://www.nature.com/articles/s41556-020-00613-6,https://www.dropbox.com/scl/fi/e0p4f085z1xu2esv9zm6o/Data_Chen2021_Prostate.tar.gz?rlkey=gvoiyhjhgb8e0w2nzzsndgzt6&dl=1,,study-data/cell-types/20053,study-data/comments/20053,study-data/meta-programs/20053,study-data/cnas/20053,study-data/umap/20053,study-data/cell-cycle/20053,['Prostate cancer'],10x,1.0,['prostate']
20054.0,Chung et al. 2017,Chung,2017,Breast cancer,SmartSeq2,13,515,https://www.nature.com/articles/ncomms15081,https://www.dropbox.com/scl/fi/i7ndkauo8y4ozqsiyr1xh/Data_Chung2017_Breast.tar.gz?rlkey=hcubkjhvkqjjluw8c1dcdcf8a&dl=1,,study-data/cell-types/20054,study-data/comments/20054,,,study-data/umap/20054,study-data/cell-cycle/20054,['Breast cancer'],SmartSeq2,0.5,['breast']
20055.0,Cohen et al. 2021,Cohen,2021,Multiple myeloma,Other,74,39157,https://www.nature.com/articles/s41591-021-01232-w,https://www.dropbox.com/scl/fi/gkvbe2mq3ra3o3h9q1kxr/Data_Cohen2021_Hematologic.tar.gz?rlkey=ppqa3qzpupdfzpuxs0nrst3uz&dl=1,,study-data/cell-types/20055,study-data/comments/20055,study-data/meta-programs/20055,,study-data/umap/20055,study-data/cell-cycle/20055,['Multiple myeloma'],MARS-seq,0.75,['hematologic']
20056.0,Couturier et al. 2020,Couturier,2020,GBM,10x,29,100335,https://www.nature.com/articles/s41467-020-17186-5,https://www.dropbox.com/scl/fi/49hfymw73eut0h45u6n1j/Data_Couturier2020_Brain.tar.gz?rlkey=7gksenf1sht7mkxfl98g0s9ia&dl=1,,study-data/cell-types/20056,study-data/comments/20056,study-data/meta-programs/20056,,,study-data/cell-cycle/20056,['GBM'],10x,0.5,['brain']
20058.0,Darmanis et al. 2017,Darmanis,2017,GBM,SmartSeq2,4,3589,https://www.sciencedirect.com/science/article/pii/S2211124717314626,https://www.dropbox.com/scl/fi/lwc18a3683gk0b381a8ib/Data_Darmanis2017_Brain.tar.gz?rlkey=26z95w9ezdknit7brmpqs0ewh&dl=1,,study-data/cell-types/20058,study-data/comments/20058,study-data/meta-programs/20058,study-data/cnas/20058,study-data/umap/20058,study-data/cell-cycle/20058,['GBM'],SmartSeq2,1.0,['brain']
20059.0,Dong et al. 2020,Dong,2020,Neuroblastoma,10x,13,55190,https://www.sciencedirect.com/science/article/pii/S1535610820304256,https://www.dropbox.com/scl/fi/mvb8uevn5h497cpzde4jq/Data_Dong2020_Neuroendocrine.tar.gz?rlkey=v9aiwotok87yje44stfwt8knk&dl=1,,study-data/cell-types/20059,study-data/comments/20059,study-data/meta-programs/20059,study-data/cnas/20059,study-data/umap/20059,study-data/cell-cycle/20059,['Neuroblastoma'],10x,1.0,['neuroendocrine']
20060.0,Dong et al. 2020,Dong,2020,Prostate cancer,10x,6,21292,https://www.nature.com/articles/s42003-020-01476-1,https://www.dropbox.com/scl/fi/f4foh1noqglwq2rxfw1f5/Data_Dong2020_Prostate.tar.gz?rlkey=fikh1fwgkum9l8zrc4kbi1dsi&dl=1,,study-data/cell-types/20060,study-data/comments/20060,study-data/meta-programs/20060,study-data/cnas/20060,study-data/umap/20060,study-data/cell-cycle/20060,['Prostate cancer'],10x,1.0,['prostate']
20061.0,Dost et al. 2020,Dost,2020,Lung cancer,10x,10,32661,https://www.sciencedirect.com/science/article/pii/S193459092030360X,https://www.dropbox.com/scl/fi/8ubp64zqb0u7e9dbr4ovn/Data_Dost2020_Other-Models.tar.gz?rlkey=ie2yz818drk5w2b430owc12uf&dl=1,,study-data/cell-types/20061,study-data/comments/20061,study-data/meta-programs/20061,study-data/cnas/20061,study-data/umap/20061,study-data/cell-cycle/20061,['Lung cancer'],10x,1.0,['othermodels']
20062.0,Ebinger et al. 2016,Ebinger,2016,ALL,Other,5,185,https://www.sciencedirect.com/science/article/pii/S1535610816305086,https://www.dropbox.com/scl/fi/s6ki7xzmxso1609b116g8/Data_Ebinger2016_Other-Models.tar.gz?rlkey=vofy7qzckhys3wegtyistlpq0&dl=1,,study-data/cell-types/20062,study-data/comments/20062,,,study-data/umap/20062,study-data/cell-cycle/20062,['ALL'],SMARTer,0.5,['othermodels']
20064.0,Franses et al. 2017,Franses,2017,IPMN/PDAC,Other,3,34,https://theoncologist.onlinelibrary.wiley.com/doi/full/10.1634/theoncologist.2017-0234,https://www.dropbox.com/scl/fi/jrosrxv1xtiaqzr2yk73m/Data_Franses2017_Other-Models.tar.gz?rlkey=z935diurukjjzydqcxyy4b6a5&dl=1,,study-data/cell-types/20064,study-data/comments/20064,,,study-data/umap/20064,,['IPMN/PDAC'],,0.25,['othermodels']
20065.0,Franses et al. 2020,Franses,2020,PDAC,10x,4,81,https://www.nature.com/articles/s41467-020-17150-3,https://www.dropbox.com/scl/fi/mnp8g5smu9in3dikgyx7u/Data_Franses2020_Other-Models.tar.gz?rlkey=im1pvi1kvs2x7d4atpu3byyze&dl=1,,study-data/cell-types/20065,study-data/comments/20065,,,study-data/umap/20065,study-data/cell-cycle/20065,['PDAC'],10x,0.5,['othermodels']
20066.0,Gaiti et al. 2019,Gaiti,2019,CLL,SmartSeq2,8,720,https://www.nature.com/articles/s41586-019-1198-z,https://www.dropbox.com/scl/fi/memseaobk0zh72iftl0yp/Data_Gaiti2019_Hematologic.tar.gz?rlkey=04jtbbjzd3fqrqlvueicscz8x&dl=1,,study-data/cell-types/20066,study-data/comments/20066,,,study-data/umap/20066,study-data/cell-cycle/20066,['CLL'],SmartSeq2,0.5,['hematologic']
20067.0,Galen et al. 2019,Galen,2019,AML,Other,37,33392,https://www.sciencedirect.com/science/article/pii/S0092867419300947,https://www.dropbox.com/scl/fi/k7emrfdmmtw1gmm5kmv0x/Data_Galen2019_Hematologic.tar.gz?rlkey=cpxknyzv03fjy3c570i1dya7s&dl=1,,study-data/cell-types/20067,study-data/comments/20067,study-data/meta-programs/20067,study-data/cnas/20067,study-data/umap/20067,study-data/cell-cycle/20067,['AML'],SeqWell,1.0,['hematologic']
20068.0,Gao et al. 2021,Gao,2021,Breast cancer,10x,11,29992,https://www.nature.com/articles/s41587-020-00795-2,https://www.dropbox.com/scl/fi/xx9nxos1pcucocb7hl776/Data_Gao2021_Breast.tar.gz?rlkey=x5ujg573e5plq9m2t705kuxwh&dl=1,,study-data/cell-types/20068,study-data/comments/20068,study-data/meta-programs/20068,study-data/cnas/20068,study-data/umap/20068,study-data/cell-cycle/20068,['Breast cancer'],10x,1.0,['breast']
20069.0,Giustacchini et al. 2017,Giustacchini,2017,CML,Other,42,2287,https://www.nature.com/articles/nm.4336,https://www.dropbox.com/scl/fi/te7g8rh5tipx3srl4e66l/Data_Giustacchini2017_Hematologic.tar.gz?rlkey=hhjc8kmhycfbw619s7peb2saq&dl=1,,study-data/cell-types/20069,study-data/comments/20069,study-data/meta-programs/20069,,study-data/umap/20069,study-data/cell-cycle/20069,['CML'],HiSeq 2000,0.75,['hematologic']
20070.0,Gojo et al. 2020,Gojo,2020,Pediatric ependymoma,SmartSeq2,25,6739,https://www.sciencedirect.com/science/article/pii/S1535610820303081,https://www.dropbox.com/scl/fi/feacq5t81em3c13hue31p/Data_Gojo2020_Brain.tar.gz?rlkey=r0jgfnutl5qyo1lsp77hdxoy2&dl=1,,study-data/cell-types/20070,study-data/comments/20070,study-data/meta-programs/20070,study-data/cnas/20070,study-data/umap/20070,study-data/cell-cycle/20070,['Pediatric ependymoma'],SmartSeq2,1.0,['brain']
